family,tag,n,idx,decoder,method,dim,budget,f_opt,srate,nr,mean_gap,median_best,median_ftt
uflp,,16,2,penalty,bde,16,160000,462,0.8387,0.00263,0.004538,462,420.0
uflp,,18,0,penalty,mga,18,180000,492,1.0,0.00112,0.0,492,201
uflp,,18,0,penalty,mbpso,18,180000,492,1.0,0.00121,0.0,492,218
uflp,,18,0,penalty,bpso,18,180000,492,1.0,0.00483,0.0,492,870
uflp,,18,0,penalty,mbde,18,180000,492,1.0,0.00123,0.0,492,222
uflp,,18,1,penalty,floor,18,180000,558,1.0,0.003,0.0,558,540
uflp,,18,0,penalty,bde,18,180000,492,0.9355,0.00233,0.001574,492,420
uflp,,18,1,penalty,ils,18,180000,558,1.0,0.00154,0.0,558,277
uflp,,18,1,penalty,ga,18,180000,558,1.0,0.00233,0.0,558,420
uflp,,18,1,penalty,mga,18,180000,558,1.0,0.00158,0.0,558,285
uflp,,18,1,penalty,mbpso,18,180000,558,1.0,0.0016,0.0,558,288
uflp,,18,1,penalty,bpso,18,180000,558,1.0,0.03917,0.0,558,7050
uflp,,18,1,penalty,mbde,18,180000,558,0.9677,0.00151,0.000809,558,272.5
uflp,,18,2,penalty,floor,18,180000,476,1.0,0.00327,0.0,476,589
uflp,,18,2,penalty,ils,18,180000,476,1.0,0.0029,0.0,476,522
uflp,,18,1,penalty,bde,18,180000,558,0.871,0.0035,0.003006,558,630
uflp,,18,2,penalty,ga,18,180000,476,1.0,0.0035,0.0,476,630
uflp,,18,2,penalty,mga,18,180000,476,1.0,0.00136,0.0,476,244
uflp,,18,2,penalty,mbpso,18,180000,476,1.0,0.00144,0.0,476,260
scp,,120,2,penalty,mbde,120,1200000,20,0.0,inf,0.164516,23,
uflp,,18,2,penalty,bpso,18,180000,476,0.9032,0.01092,0.000203,476,1965.0
uflp,,18,2,penalty,bde,18,180000,476,0.7742,0.0025,0.001152,476,450.0
uflp,,18,2,penalty,mbde,18,180000,476,0.6452,0.00145,0.000745,476,261.0
scp,,120,1,penalty,bde,120,1200000,20,0.5161,0.72532,0.029032,20,870390.0
scp,,120,0,penalty,bpso,120,1200000,20,0.0,inf,0.18871,24,
scp,,120,1,penalty,bpso,120,1200000,20,0.0645,0.29762,0.182258,24,357150.0
scp,,120,2,penalty,bde,120,1200000,20,0.4194,0.66248,0.045161,21,794970
scp,,120,2,penalty,bpso,120,1200000,20,0.0,inf,0.170968,24,
